country,Accessed_From,purchases
Albania,Safari,180
Albania,Android App,392
Albania,Others,281
Albania,Mozilla Firefox,292
Albania,Microsoft Edge,171
Albania,IOS App,233
Albania,Chrome,299
Antigua and Barbuda,IOS App,289
Antigua and Barbuda,Safari,210
Antigua and Barbuda,Chrome,401
Antigua and Barbuda,Others,336
Antigua and Barbuda,Mozilla Firefox,357
Antigua and Barbuda,Microsoft Edge,189
Antigua and Barbuda,Android App,486
Argentina,Others,407
Argentina,IOS App,336
Argentina,Chrome,429
Argentina,Safari,240
Argentina,Microsoft Edge,216
Argentina,Android App,575
Argentina,Mozilla Firefox,400
Armenia,IOS App,250
Armenia,Others,314
Armenia,Safari,210
Armenia,Chrome,304
Armenia,Android App,487
Armenia,Microsoft Edge,189
Armenia,Mozilla Firefox,332
Aruba,Mozilla Firefox,164
Aruba,Safari,110
Aruba,Android App,234
Aruba,Chrome,228
Aruba,Others,186
Aruba,IOS App,155
Aruba,Microsoft Edge,99
Australia,Chrome,415
Australia,Android App,575
Australia,Mozilla Firefox,400
Australia,Microsoft Edge,216
Australia,Others,374
Australia,Safari,240
Australia,IOS App,300
Austria,IOS App,346
Austria,Chrome,418
Austria,Mozilla Firefox,408
Austria,Android App,576
Austria,Others,421
Austria,Safari,262
Austria,Microsoft Edge,243
Azerbaijan,IOS App,167
Azerbaijan,Safari,128
Azerbaijan,Mozilla Firefox,200
Azerbaijan,Microsoft Edge,108
Azerbaijan,Android App,298
Azerbaijan,Others,205
Azerbaijan,Chrome,238
Bahamas,Android App,432
Bahamas,Safari,186
Bahamas,Others,292
Bahamas,Chrome,296
Bahamas,IOS App,243
Bahamas,Microsoft Edge,177
Bahamas,Mozilla Firefox,306
Bahrain,IOS App,227
Bahrain,Chrome,299
Bahrain,Microsoft Edge,147
Bahrain,Android App,373
Bahrain,Safari,164
Bahrain,Others,284
Bahrain,Mozilla Firefox,270
Barbados,Android App,482
Barbados,Safari,211
Barbados,Microsoft Edge,180
Barbados,Others,311
Barbados,Chrome,343
Barbados,IOS App,252
Barbados,Mozilla Firefox,320
Belarus,Android App,410
Belarus,Others,279
Belarus,IOS App,220
Belarus,Safari,170
Belarus,Chrome,256
Belarus,Microsoft Edge,153
Belarus,Mozilla Firefox,275
Belgium,Android App,556
Belgium,Microsoft Edge,225
Belgium,Chrome,458
Belgium,Others,394
Belgium,Mozilla Firefox,396
Belgium,IOS App,325
Belgium,Safari,250
Belize,Safari,222
Belize,Mozilla Firefox,359
Belize,Android App,523
Belize,Chrome,371
Belize,Microsoft Edge,207
Belize,Others,376
Belize,IOS App,294
Bosnia and Herzegovina,Safari,18
Bosnia and Herzegovina,IOS App,18
Bosnia and Herzegovina,Microsoft Edge,9
Bosnia and Herzegovina,Mozilla Firefox,40
Bosnia and Herzegovina,Android App,52
Bosnia and Herzegovina,Others,15
Bosnia and Herzegovina,Chrome,16
Brazil,Others,403
Brazil,Android App,551
Brazil,IOS App,331
Brazil,Mozilla Firefox,385
Brazil,Safari,249
Brazil,Microsoft Edge,225
Brazil,Chrome,460
Bulgaria,Others,382
Bulgaria,Mozilla Firefox,399
Bulgaria,IOS App,306
Bulgaria,Chrome,401
Bulgaria,Android App,576
Bulgaria,Safari,240
Bulgaria,Microsoft Edge,216
Cabo Verde,Microsoft Edge,12
Cabo Verde,Chrome,14
Cabo Verde,IOS App,28
Cabo Verde,Mozilla Firefox,12
Cabo Verde,Others,18
Canada,Others,376
Canada,Safari,250
Canada,IOS App,296
Canada,Chrome,377
Canada,Android App,552
Canada,Microsoft Edge,213
Canada,Mozilla Firefox,372
Chile,Android App,575
Chile,Chrome,457
Chile,Safari,240
Chile,IOS App,320
Chile,Microsoft Edge,216
Chile,Mozilla Firefox,400
Chile,Others,396
Colombia,Chrome,401
Colombia,Android App,537
Colombia,IOS App,326
Colombia,Safari,240
Colombia,Mozilla Firefox,386
Colombia,Microsoft Edge,225
Colombia,Others,399
Costa Rica,Microsoft Edge,180
Costa Rica,Others,336
Costa Rica,Android App,483
Costa Rica,IOS App,270
Costa Rica,Chrome,357
Costa Rica,Safari,210
Costa Rica,Mozilla Firefox,324
Croatia,Chrome,255
Croatia,Others,240
Croatia,Mozilla Firefox,246
Croatia,Safari,150
Croatia,Microsoft Edge,138
Croatia,IOS App,198
Croatia,Android App,345
Cuba,Mozilla Firefox,255
Cuba,Others,270
Cuba,IOS App,198
Cuba,Chrome,258
Cuba,Safari,180
Cuba,Android App,411
Cuba,Microsoft Edge,156
Cyprus,Microsoft Edge,84
Cyprus,IOS App,150
Cyprus,Others,162
Cyprus,Chrome,200
Cyprus,Safari,90
Cyprus,Mozilla Firefox,171
Cyprus,Android App,210
Czech Republic,Android App,426
Czech Republic,Chrome,306
Czech Republic,IOS App,237
Czech Republic,Microsoft Edge,180
Czech Republic,Mozilla Firefox,306
Czech Republic,Safari,189
Czech Republic,Others,288
Denmark,Microsoft Edge,135
Denmark,Others,248
Denmark,Safari,154
Denmark,Mozilla Firefox,240
Denmark,IOS App,195
Denmark,Chrome,255
Denmark,Android App,357
Dominica,Safari,15
Dominica,Others,21
Dominica,Android App,36
Ecuador,Mozilla Firefox,351
Ecuador,Chrome,360
Ecuador,Android App,489
Ecuador,Safari,213
Ecuador,IOS App,285
Ecuador,Microsoft Edge,198
Ecuador,Others,336
El Salvador,Others,257
El Salvador,Chrome,304
El Salvador,Microsoft Edge,153
El Salvador,Android App,360
El Salvador,Safari,159
El Salvador,IOS App,222
El Salvador,Mozilla Firefox,273
Estonia,Chrome,255
Estonia,IOS App,195
Estonia,Safari,141
Estonia,Android App,333
Estonia,Mozilla Firefox,228
Estonia,Others,240
Estonia,Microsoft Edge,120
Fiji,Others,126
Fiji,IOS App,81
Fiji,Microsoft Edge,75
Fiji,Chrome,105
Fiji,Mozilla Firefox,111
Fiji,Android App,204
Fiji,Safari,90
Finland,Chrome,354
Finland,Android App,441
Finland,Others,315
Finland,Mozilla Firefox,333
Finland,Safari,192
Finland,IOS App,270
Finland,Microsoft Edge,183
France,Chrome,357
France,Safari,207
France,Mozilla Firefox,336
France,Android App,471
France,Microsoft Edge,189
France,Others,327
France,IOS App,273
Georgia,Chrome,255
Georgia,Android App,357
Georgia,IOS App,195
Georgia,Others,249
Georgia,Safari,153
Georgia,Microsoft Edge,135
Georgia,Mozilla Firefox,240
Germany,Mozilla Firefox,288
Germany,Android App,414
Germany,Microsoft Edge,162
Germany,IOS App,234
Germany,Others,287
Germany,Chrome,306
Germany,Safari,181
Greece,IOS App,273
Greece,Safari,213
Greece,Mozilla Firefox,336
Greece,Microsoft Edge,189
Greece,Chrome,357
Greece,Android App,507
Greece,Others,357
Grenada,Chrome,306
Grenada,Others,285
Grenada,Mozilla Firefox,288
Grenada,Android App,408
Grenada,Microsoft Edge,162
Grenada,IOS App,234
Grenada,Safari,177
Guatemala,IOS App,273
Guatemala,Microsoft Edge,189
Guatemala,Safari,210
Guatemala,Mozilla Firefox,336
Guatemala,Others,324
Guatemala,Android App,471
Guatemala,Chrome,357
Guyana,Safari,168
Guyana,Others,272
Guyana,Microsoft Edge,153
Guyana,Chrome,305
Guyana,Android App,384
Guyana,IOS App,234
Guyana,Mozilla Firefox,283
Hungary,Others,288
Hungary,Android App,414
Hungary,Microsoft Edge,156
Hungary,Mozilla Firefox,282
Hungary,Safari,180
Hungary,IOS App,234
